Year,Rank,Name,Country,Coffee [gr],Water for brewing [gr],Water after brew [gr],Total Water [gr],Temperature [°C],Time [min]
2021,1,Tuomas Merikanto,Finland,18,200,,200,80,2
2021,2,Maru Mallee,Netherlands,18,150,36,186,93,2.25
2021,3,Brandon Smith,South Africa,18,140,80,220,88,2
2019,1,Wndelien van Bunnik,Netherlands,30,100,120,220,92,1
2019,2,Benja Khemacheva,Thailand,35,100,110,210,94,1.75
2019,3,Alexis Gagnaire,France,30,135,120,255,88,1.5
2018,1,Carolina Ibarra,USA,34.9,100,100,200,85,1.5
2018,2,Xiaobo Zhang,China,31,170,50,220,80,1.25
2018,3,Evgeni Pinchukov,Belarus,15,230,,230,80,1.5
2017,1,Paulina Miczka,England,25,150,180,330,84,1.58
2017,2,Yusuke Narisawa,Japan,29.5,170,75,245,85,1.83
2017,3,Jeongsu Park,South Korea,30,150,150,300,86,1.5
2016,1,Filip Kucharczyk,Poland,35,150,110,260,81,1.5
2016,2,Jerome Dittmar,France,20,230,,230,,1.33
2016,3,Hugo Sousa,Brazil,27,170,30,200,82,4
2015,1,Lukas Zahdradnik,Slovakia,20,230,,230,79,1.58
2015,2,Nick Hatch,Canada,17.5,260,,260,85,1.75
2015,3,Kaye Joy Ong,Phillipines,22.5,280,,280,79,1.58
2014,1,Shuichi Sasaki,Japan,16.5,250,,250,78,1.67
2014,2,Marin Karabinos,Slovakia,18.5,215,,215,,3.5
2014,3,Jeff Verellen,Belgium,17.5,270,,270,,2
2013,1,Jeff Verellen,Belgium,17,270,,270,83.5,1.5
2013,2,Wille Yli-Luoma,Finland,17,240,,240,98,2
2013,3,Tibor Varady,Hungary,12,200,,200,90,2.5
2012,1,Charlene de Buysere,Belgium,18.3,250,,250,85,
2012,2,Ingri Margrethe Johnsen,Norway,17,260,,260,96,1.17
2012,3,Emil Eriksson,Sweden,,,,0,,
2011,1,Jeff Verellen,Belgium,17,270,,270,80,2.5
2011,2,Joshua Wismans,USA,20,,,0,,2.17
2011,3,Alex Artemov,Russia,,,,0,,
2010,1,Marie Hagemeister,Denmark,20,260,,260,80,
2010,2,Jepe Hasager,Denmark,18,230,,230,75,1.75
2010,3,Jeff Verellen,Belgium,20,,,0,82,2
2009,1,Lukasz Jura,Poland,19.75,200,,200,75,1
2009,2,Ben Kaminsky,USA,14,200,,200,95,1.5
2009,3,Alexander Scheen Jensen,Norway,20,240,,240,98,1.5
2008,1,Anders Walde,Norway,,,,0,,
