,Cheese,Cheese,Cheese,Geri,Geri,Geri,Lilä,Lilä,Lilä,Lüku,Lüku,Lüku,Michu,Michu,Michu,Nesa,Nesa,Nesa,Ste,Ste,Ste,Steff,Steff,Steff
,Expectation,Rating,Guess,Expectation,Rating,Guess,Expectation,Rating,Guess,Expectation,Rating,Guess,Expectation,Rating,Guess,Expectation,Rating,Guess,Expectation,Rating,Guess,Expectation,Rating,Guess
Anker,1,1,Heineken,3,1,Feldschlösschen Premium,1,1,Prix Garantie,2,3,Feldschlösschen Premium,1,1,Heineken,1,1,Anker,1,2,Heineken,1,2,Chopfab
Chopfab,2,2,Junker,2,2,Corona,1,2,Chopfab,3,3,Copfab,3,3,Chopfab,2,2,Chopfab,2,1,Prix Garantie,2,3,Junker
Corona,3,3,Corona,2,1,Anker,2,2,Feldschlösschen Premium,2,2,Rugenbräu,2,2,Corona,2,2,Feldschlösschen,3,2,Corona,3,1,Prix Garantie
Feldschlösschen,1,1,Anker,1,3,Junker,2,3,Quöllfrisch,3,3,Junker,1,1,Prix Garantie,2,2,Corona,1,2,Quöllfrisch,2,3,Corona
Feldschlösschen Premium,2,1,Feldschlösschen,1,2,Rugenbräu,2,1,Anker,2,1,Anker,2,2,Anker,2,1,Prix Garantie,2,2,Chopfab,2,1,Feldschlösschen Premium
Heineken,1,1,Rugenbräu,1,1,Feldschlösschen,2,2,Feldschlösschen,1,1,Corona,1,1,Quöllfrisch,2,3,Rugenbräu,1,2,Rugenbräu,1,1,Rugenbräu
Junker,2,2,Chopfab,3,2,Quöllfrisch,2,3,Rugenbräu,3,1,Quöllfrisch,3,1,Feldschlösschen Premium,3,2,Feldschlösschen Premium,3,1,Feldschlösschen,2,1,Quöllfrisch
Prix Garantie,2,2,Quöllfrisch,1,1,Prix Garantie,1,2,Heineken,2,2,Heineken,1,2,Rugenbräu,1,2,Heineken,1,2,Junker,1,2,Heineken
Quöllfrisch,3,1,Prix Garantie,3,1,Chopfab,3,2,Corona,1,1,Prix Garantie,1,1,Feldschlösschen,3,2,Quöllfrisch,2,1,Anker,2,1,Feldschlösschen
Rugenbräu,2,2,Feldschlösschen Premium,2,1,Heineken,3,2,Junker,2,3,Feldschlösschen,2,1,Junker,3,3,Junker,3,1,Feldschlösschen Premium,1,2,Anker
